"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","LCSC Part"
"BT1","1","Battery_Cell","","","","AG-lib-oaf:AGGO-battery","",""
"C1,C3,C5,C7,C9,C10,C13,C15,C16,C24,C28,C39,C52,C56,C57,C59,C63,C70,C71,C72,C73,C74","22","0.1uF/25V","","","","Capacitor_SMD:C_0402_1005Metric","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_SAMSUNG_CL05A104KA5NNNC_100nF-104-10-25V_C100072.html","C100072"
"C2","1","47nF/25V","","","","Capacitor_SMD:C_0402_1005Metric","https://lcsc.com/product-detail/Others_Guangdong-Fenghua-Advanced-Tech-0402B473K250NT_C285062.html","C285062"
"C4,C6,C11,C22,C60,C65","6","10uF/25V","","","","Capacitor_SMD:C_0603_1608Metric","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_SAMSUNG_CL10A106MA8NRNC_10uF-106-20-25V_C96446.html","C96446"
"C8,C45,C48","3","4.7uF/25V","","","","Capacitor_SMD:C_0402_1005Metric","","C6119795"
"C12,C36,C37,C38","4","22uF/25V","","","","Capacitor_SMD:C_0805_2012Metric","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics-CL21A226MAYNNNE_C602037.html","C602037"
"C17","1","0.1uF/10V","","","","Capacitor_SMD:C_0402_1005Metric","https://lcsc.com","C315248"
"C19,C26,C29,C30,C35,C40,C41,C42,C43,C44,C46,C47,C49,C50,C51,C53,C54,C55,C58,C64,C66,C67,C68","23","1uF/50V","","","","Capacitor_SMD:C_0402_1005Metric","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_SAMSUNG_CL05A105KO5NNNC_1uF-105-10-16V_C29266.html","C7500380"
"C20","1","47uF/25V","","","","Capacitor_SMD:C_1206_3216Metric","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Murata-Electronics-GRM31CR61E476ME44L_C403725.html","C403725"
"C21","1","22uF/10V","","","","Capacitor_SMD:C_0402_1005Metric","https://lcsc.com","C315248"
"C27","1","0.47uF/25V","","","","Capacitor_SMD:C_0402_1005Metric","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_SAMSUNG_CL05A105KO5NNNC_1uF-105-10-16V_C29266.html","C7500380"
"C33","1","500pF/50V","","","","Capacitor_SMD:C_0603_1608Metric","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_500pF-501-10-50V_C1624.html","C1624"
"C69","1","0.1uF/16V","","","","Capacitor_SMD:C_0402_1005Metric","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_SAMSUNG_CL05B104KO5NNNC_100nF-104-10-16V_C1525.html","C1525"
"CN3,CN4,CN5","3","SM05B-SRSS-TB (LF)(SN)","","","","easyeda2kicad-oaf:CONN-SMD_SM05B-SRSS-TB-LF-SN","https://lcsc.com/product-detail/Connectors_JST_SM05B-SRSS-TB-LF-SN_SM05B-SRSS-TB-LF-SN_C136657.html","C136657"
"D3,D4,D5","3","PMEG3005EL,315","","","","easyeda2kicad-oaf:SOD-882_L1.0-W0.6-RD","https://lcsc.com/product-detail/Schottky-Barrier-Diodes-SBD_Nexperia_PMEG3005EL-315_Nexperia-PMEG3005EL-315_C282565.html","C282565"
"F1","1","BSMD1206-075-6V","","","","easyeda2kicad-oaf:F1206","https://lcsc.com/product-detail/PTC-Resettable-Fuses_BHFUSE-BSMD1206-075-6V_C883127.html","C883127"
"FPC1","1","FPC 0.5-24P LTH2.0","","","","easyeda2kicad-oaf:FPC-SMD_FPC-0.5-24P-LTH2.0","","C6081230"
"L1","1","252012CDMCDDS-1R0MC","","","","easyeda2kicad-oaf:IND-SMD_L2.5-W2.0","https://lcsc.com/product-detail/New-Arrivals_Sumida-252012CDMCDDS-1R0MC_C492725.html","C492725"
"L2","1","XGL4020-471MEC","","","","easyeda2kicad-oaf:IND-SMD_L4.0-W4.0_XGL4020","","C5837785"
"L3","1","XRTC201210S100MBCA","","","","easyeda2kicad-oaf:L0805","","C39846618"
"LED1,LED2,LED3,LED4","4","TJ-S1608SW6TDSLCCYRGB-A5","","","","easyeda2kicad-oaf:LED-ARRAY-SMD_4P-L1.6-W0.8-BL-FD","","C5356078"
"NTC1","1","KNTC0805/10KF3950","","","","easyeda2kicad-oaf:R0805","","C2892549"
"NTC2","1","NCP15XH103F03RC","","","","easyeda2kicad-oaf:R0402","https://lcsc.com/product-detail/NTC-Thermistors_muRata_NCP15XH103F03RC_NTCThermistor-10kR-1_C77131.html","C77131"
"Q1","1","SIA445EDJ-T1-GE3","","","","easyeda2kicad-oaf:SC-70-6L_L2.0-W2.0-P0.65-BL","https://lcsc.com/product-detail/MOSFET_VISHAY_SIA445EDJ-T1-GE3_SIA445EDJ-T1-GE3_C144959.html","C144959"
"Q2","1","ZVN4106FTA_C508255","","","","easyeda2kicad-oaf:SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","https://lcsc.com/product-detail/MOSFET_Diodes-Incorporated-ZVN4106FTA_C508255.html","C508255"
"Q3","1","CSD83325L","","","","easyeda2kicad-oaf:PICOSTAR-6_L2.2-W1.1-R2-C3-P0.65-BL","","C2860700"
"Q4","1","SS8050-G","","","","easyeda2kicad-oaf:SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","https://lcsc.com/product-detail/Transistors-NPN-PNP_SS8050-L-120-200_C164886.html","C164886"
"Q5","1","SI1308EDL","","","","easyeda2kicad-oaf:SOT-323-3_L2.0-W1.3-P1.30-LS2.1-BR","","C7603347"
