"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","LCSC Part"
"USB1","1","GT-USB-7010ASV","","","","easyeda2kicad-oaf:USB-C-SMD_G-SWITCH_GT-USB-7010ASV","","C2988369"
"U20","1","LP5036","","","","Package_DFN_QFN:VQFN-46-1EP_5x6mm_P0.4mm_EP2.8x3.8mm","http://www.ti.com/lit/ds/symlink/lp5036.pdf",""
"U19","1","LM66200DRLR","","","","easyeda2kicad-oaf:SOT-583-8_L2.1-W1.2-P0.50-LS1.6-BL","","C3235556"
"U18","1","TAU1113","","","","RF_GPS-oaf:TAU1113","https://docs.datagnss.com/rtk-board/files/T-5-2208-TAU1113%20Datasheet-V1.4.pdf",""
"U17","1","TCA9536DTMR","","","","easyeda2kicad-oaf:X2SON-8_L1.4-W0.8-P0.50-BL","","C3190167"
"U15","1","TMUX121NKGR_C22428404","","","","easyeda2kicad-oaf:UQFN-10_L1.8-W1.4-P0.40-BL","","C22428404"
"U14","1","LIS2DH12TR","","","","easyeda2kicad-oaf:LGA-12_L2.0-W2.0-P0.50-BL","https://lcsc.com/product-detail/Motion-Sensors-Accelerometers_STMicroelectronics_LIS2DH12TR_STMicroelectronics-LIS2DH12TR_C110926.html","C110926"
"U13","1","DPS368XTSA1","","","","easyeda2kicad-oaf:LGA-8_L2.5-W2.0-P0.65-TR_DPS368","","C3232508"
"U11","1","CAP1203-1-AC3-TR","","","","easyeda2kicad-oaf:TDFN-8_L3.0-W2.0-P0.50-BL-EP","","C2652075"
"U9","1","TPS7A0228DQNR","","","","easyeda2kicad-oaf:X2SON-4_L1.0-W1.0-P0.65-TL-EP","","C5220175"
"U8","1","TPS63802DLAR","","","","easyeda2kicad-oaf:VSON-10_L3.0-W2.0-P0.50-TL","","C2845237"
"U7","1","TPL5010DDCR","","","","easyeda2kicad-oaf:SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR","https://lcsc.com/product-detail/Timer_Texas-Instruments-Texas-Instruments-TPL5010DDCR_C473912.html","C473912"
"U6","1","HYG-8503A","","","","easyeda2kicad-oaf:BUZ-SMD_4P-L8.5-W8.5-P8.50-BR","","C7544813"
"U5","1","BQ25628RYKR","","","","easyeda2kicad-oaf:WQFN-18_L3.0-W2.5-P0.40-TL","","C6055599"
"U3","1","BQ27742YZFR-G1","","","","easyeda2kicad-oaf:DSBGA-15_L2.6-W2.0-R5-C3-P0.50-BL","","C2842397"
"U1","1","W25N512GVEIG","","","","easyeda2kicad-oaf:WSON-8_L8.0-W6.0-P1.27-TL-1","","C3024446"
"SW1,SW2","2","TS-1091C-A1B3-D2","","","","easyeda2kicad-oaf:KEY-SMD_3P-L5.5-W3.8-P3.00","","C2874581"
"R45,R47","2","0R","","","","Resistor_SMD:R_0402_1005Metric","https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_0R-0R0-1_C106231.html","C106231"
"R43","1","2.2R","","","","Resistor_SMD:R_0402_1005Metric","https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount-UniOhm_2-2R-2R20-1_C25101.html","C25101"
"R42","1","1M","","","","Resistor_SMD:R_0402_1005Metric","https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_1MR-1004-1_C138033.html","C138033"
"R41","1","4.7R","","","","Resistor_SMD:R_0402_1005Metric","","C2909356"
"R35","1","470mR","","","","Resistor_SMD:R_0805_2012Metric","https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_0R-0R0-1_C106231.html","C106231"
