Reference,Qty,Value,DNP,Exclude from BOM,Exclude from Board,Footprint,Datasheet,LCSC Part
"R29,R39",2,0R,,,,easyeda2kicad:R0402,https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_0R-0R0-1_C106231.html,C106231
R34,1,2.2R,,,,easyeda2kicad:R0402,https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount-UniOhm_2-2R-2R20-1_C25101.html,C25101
R35,1,4.7R,,,,easyeda2kicad:R0402,,C2909356
"R20,R21",2,22R,,,,easyeda2kicad:R0402,https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_22R-22R0-1_C114765.html,C114765
R13,1,2.49K,,,,easyeda2kicad:R0402,https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount-UniOhm_2-49KR-2491-1_C25884.html,C25884
R11,1,4.12K,,,,easyeda2kicad:R0402,https://lcsc.com/product-detail/Others_YAGEO-RC0402FR-074K12L_C327340.html,C327340
"R7,R9",2,5.1K,,,,easyeda2kicad:R0402,https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_5-1KR-5101-1_C105872.html,C105872
"R2,R3,R10,R14,R15,R19,R22,R24,R26,R27,R36,R40",12,10K,,,,easyeda2kicad:R0402,https://lcsc.com/product-detail/Others_Huaxin-S-T-MR04X1002FTL_C327797.html,C327797
R17,1,15K,,,,easyeda2kicad:R0402,https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount-UniOhm_15KR-1502-1_C25756.html,C25756
R12,1,17.33K,,,,easyeda2kicad:R0402,,C851231
R18,1,20K,,,,easyeda2kicad:R0402,https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_20KR-2002-1_C93942.html,C93942
R16,1,51K,,,,easyeda2kicad:R0402,https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_51KR-5102-1_C107229.html,C107229
R6,1,91K,,,,easyeda2kicad:R0402,https://lcsc.com/product-detail/Others_YAGEO-RC0402FR-0791KL_C327323.html,C327323
"R1,R5,R8,R23,R31,R33",6,100K,,,,easyeda2kicad:R0402,https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_100KR-1003-1_C60491.html,C60491
R4,1,475K,,,,easyeda2kicad:R0402,,C5713272
R32,1,1M,,,,easyeda2kicad:R0402,https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_1MR-1004-1_C138033.html,C138033
