Designator,Footprint,Quantity,Value,LCSC Part #
"_8, _7, _6, _5, _4, _3, _2, ",,8,,
ANT1,ANT-SMD_L10.0-W3.0,1,GPS1003,C239243
ANT2,ANT-SMD_7P-L7.0-W7.0_M20047-1,1,M20047-1,C3284892
ANT3,RF-SMD_FRF05002-JSS103M,1,U.FL-R-SMT-1(80),C88374
"C1, C12, C14, C29, C46, C48_2, C48, C49, C50, C52, C58, C6, C60",C0402,13,0.1uF/25V,C100072
"C10, C7",C0402,2,10uF/10V,C315248
"C11, C15, C3, C4, C53, C59",C0603,6,10uF/25V,C96446
"C13, C17, C5, C8",C0805,4,22uF/25V,C602037
"C16, C20",C0402,2,4.7uF/25V,C6119795
"C19, C27, C28, C30, C31, C32, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C45, C55, C56, C57, C9",C0402,21,1uF/50V,C7500380
C2,C0402,1,47nF/25V,C285062
C23,C0603,1,500pF/50V,C1624
C26,C0402,1,22uF/10V,C6119813
C33,C0402,1,2.2uF/25V,C385032
C44,C1206,1,47uF/25V,C403725
C54,C0402,1,22pF/50V,C106203
CN1,CONN-SMD_2P-P1.00_SM02B-SRSS-TB-LF-SN,1,SM02B-SRSS-TB (LF)(SN),C160402
"CN2, CN3",CONN-SMD-5P-P1.00_BM05B-SRSS-TB-LF-SN,2,BM05B-SRSS-TB(LF)(SN),C160391
"D1, D2, D3",SOD-882_L1.0-W0.6-RD,3,"PMEG3005EL,315",C282565
"D4, D5",SOD-323_L1.8-W1.3-LS2.5-RD,2,"CUS10S30,H3F",C146335
DIS1,AG_display,1,~,C5160787
F1,F1206,1,BSMD1206-075-6V,C883127
FPC1,FPC-SMD_FPC-0.5-24P-LTH2.0,1,FPC 0.5-24P LTH2.0,C6081230
"J1_2, J1",PinSocket_2x05_P1.25mm_Vertical,2,Conn_02x05_Odd_Even,
"JP1, JP2, JP5",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,3,Jumper_2_Open,
L1,IND-SMD_L2.5-W2.0,1,252012CDMCDDS-1R0MC,C492725
L2,IND-SMD_L4.0-W4.0_XFL4020-102MEB,1,XFL4015-471MEC,C18221164
L3,L0805,1,XRTC201210S100MBCA,C39846618
L4,L0402,1,LQG15HS1N8B02D,C521065
L5,L0402,1,LQW15AN47NJ00D,C192855
NTC1,R0805,1,KNTC0805/10KF3950,C2892549
Q1,SC-70-6L_L2.0-W2.0-P0.65-BL,1,SIA445EDJ-T1-GE3,C144959
Q2,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,1,ZVN4106FTA_C508255,C508255
Q3,TSSOP-8_L4.4-W3.0-P0.65-LS6.4-BL,1,8205A_C5148694,C5148694
Q4,SOT-323-3_L2.0-W1.3-P1.30-LS2.1-BR,1,SI1308EDL,C7603347
"R1, R23, R31, R33, R5, R8",R0402,6,100K,C60491
"R10, R14, R15, R19, R2, R22, R24, R26, R27, R28, R3, R36, R38, R40",R0402,14,10K,C327797
R11,R0402,1,4.12K,C327340
R12,R0402,1,17.33K,C851231
R13,R0402,1,2.49K,C25884
R16,R0402,1,51K,C107229
R17,R0402,1,15K,C25756
R18,R0402,1,20K,C93942
"R20, R21",R0402,2,22R,C114765
"R25, R30",R0402,2,1K,C106235
R29,R0402,1,100R,C606168
R32,R0402,1,1M,C138033
R34,R0402,1,2.2R,C25101
R35,R0402,1,4.7R,C2909356
"R37, R39, R42, R43",R0402,4,0R,C106231
R4,R0402,1,475K,C5713272
R6,R0402,1,91K,C327323
"R7, R9",R0402,2,5.1K,C105872
"SW1, SW2",KEY-SMD_3P-L5.5-W3.8-P3.00,2,TS-1091C-A1B3-D2,C2874581
TP1,TestPoint_Pad_D1.0mm,1,SYS,
TP10,TestPoint_Pad_D1.0mm,1,VDD_BAK,
TP11,TestPoint_Pad_D1.0mm,1,BAT-,
TP12,TestPoint_Pad_D1.0mm,1,VOUT1,
TP13,TestPoint_Pad_D1.0mm,1,GDR,
TP14,TestPoint_Pad_D1.0mm,1,RESE,
TP15,TestPoint_Pad_D1.0mm,1,PREVGH,
TP16,TestPoint_Pad_D1.0mm,1,PREVGL,
TP17,TestPoint_Pad_D1.0mm,1,VCOM,
TP18,TestPoint_Pad_D1.0mm,1,GND,
TP2,TestPoint_Pad_D1.0mm,1,PACK-,
TP3,TestPoint_Pad_D1.0mm,1,PACK+,
TP4,TestPoint_Pad_D1.0mm,1,PMID_GD,
TP5,TestPoint_Keystone_5019_Miniature,1,+3.1V,
TP6,TestPoint_Pad_D1.0mm,1,PMID,
TP7,TestPoint_Pad_D1.0mm,1,VBUS,
TP8,TestPoint_Keystone_5019_Miniature,1,+5V,
TP9,TestPoint_Pad_D1.0mm,1,EN_PM1,
TVS1,DFN1006-2L-BI-1,1,ESD5611N-2/TR,C2939834
U1,WSON-8_L8.0-W6.0-P1.27-TL-1,1,W25N512GVEIG,C3024446
U10,UQFN-10_L1.8-W1.4-P0.40-BL,1,TMUX121NKGR_C22428404,C22428404
U11,LGA-12_L2.0-W2.0-P0.50-BL,1,LIS2DH12TR,C110926
U12,SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR,1,SN74LVC1G06DBVR_C41431788,C41431788
U13,Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad,1,SHT4x,
U14_2,STCC4,1,STCC4,C49191471
U15,LGA-8_L2.5-W2.0-P0.65-TR_DPS368,1,DPS368XTSA1,C3232508
U16,TAU1113,1,TAU1113,
U17,S12,1,S12,
