Designator,Mid X,Mid Y,Rotation,Layer
ANT1,84.661559,-47.008289,91.499,bottom
C1,126.011559,-111.66,90.0,top
C10,139.611559,-50.045476,90.0,bottom
C11,136.09,-75.68,0.0,bottom
C12,134.97,-83.4,180.0,bottom
C13,117.35,-69.95,270.0,bottom
C14,117.25,-60.55,270.0,bottom
C15,138.13,-83.14,0.0,bottom
C16,127.56,-80.66,90.0,bottom
C17,126.6,-68.06,270.0,bottom
C19,133.05,-83.43,90.0,bottom
C2,131.54,-82.2,270.0,bottom
C20,111.45,-69.84,0.0,bottom
C23,122.2,-62.77,0.0,bottom
C26,137.57,-70.74,270.0,bottom
C27,95.686559,-68.64,90.0,bottom
C28,139.57,-71.39,180.0,bottom
C29,127.07,-65.37,180.0,bottom
C3,140.51,-76.96,270.0,bottom
C30,114.36,-53.04,0.0,bottom
C31,99.236559,-68.34,0.0,bottom
C32,104.63,-44.7,90.0,bottom
C33,98.3,-56.42,90.0,bottom
C34,102.01,-49.14,90.0,bottom
C35,114.39,-54.34,0.0,bottom
C36,105.331559,-44.38,180.0,top
C37,105.331559,-42.88,180.0,top
C38,100.586559,-70.465,270.0,bottom
C39,135.261559,-115.49,180.0,bottom
C4,137.94,-78.46,90.0,bottom
C40,102.331559,-42.88,0.0,top
C41,137.111559,-108.69,180.0,bottom
C42,102.331559,-44.38,0.0,top
C43,99.331559,-44.38,0.0,top
C45,99.331559,-42.88,0.0,top
C46,82.361559,-72.84,270.0,bottom
C48,96.96,-56.42,90.0,bottom
C49,88.561559,-124.29,180.0,top
C5,130.47,-105.71,180.0,bottom
C50,83.531559,-89.19,180.0,bottom
C52,106.84,-68.76,0.0,bottom
C53,83.261559,-87.24,180.0,bottom
C54,100.52,-61.75,90.0,bottom
C55,90.911559,-67.915,0.0,bottom
C56,103.01,-70.2,180.0,bottom
C57,136.85,-105.42,180.0,bottom
C58,83.411559,-100.04,0.0,bottom
C59,86.686559,-68.59,180.0,bottom
C6,116.561559,-64.39,0.0,bottom
C60,83.411559,-98.59,0.0,bottom
C7,140.811559,-50.04,90.0,bottom
C8,119.65,-69.95,270.0,bottom
C9,113.461559,-64.39,180.0,bottom
CN1,111.9,-108.52,90.0,top
CN2,97.336559,-73.125,0.0,bottom
CN3,105.561559,-73.1275,0.0,bottom
CN4,104.155,-66.11,90.0,bottom
D1,102.7,-44.09,0.0,bottom
D2,102.7,-45.51,180.0,bottom
D3,105.77,-45.75,0.0,top
D4,97.936559,-64.84,0.0,bottom
D5,97.936559,-62.84,180.0,bottom
D6,130.02,-67.06,180.0,bottom
D7,130.01,-68.76,180.0,bottom
F1,135.92,-106.41,0.0,top
FPC1,111.73656,-49.174619,180.0,bottom
L1,140.000244,-80.28,270.0,bottom
L2,123.04,-66.93,0.0,bottom
L3,110.911559,-55.19,0.0,bottom
NTC1,124.8,-106.7,270.0,top
Q1,129.58,-81.3,180.0,bottom
Q2,128.78,-75.72,90.0,bottom
Q3,100.98,-106.5,0.0,top
Q4,107.711559,-52.89,0.0,bottom
R1,124.511559,-111.43,90.0,top
R10,115.811559,-61.52,270.0,bottom
R11,131.41,-77.47,270.0,bottom
R12,132.64,-77.46,270.0,bottom
R13,130.12,-78.64,270.0,bottom
R14,127.77,-72.92,270.0,bottom
R16,119.25,-57.595,0.0,bottom
R17,129.3,-83.55,0.0,bottom
R18,128.77,-78.64,270.0,bottom
R19,113.925,-67.35,270.0,bottom
R2,103.511559,-60.02,270.0,bottom
R20,131.575,-63.65,90.0,bottom
R21,129.57,-63.65,90.0,bottom
R22,115.45,-67.35,270.0,bottom
R23,119.23,-62.75,0.0,bottom
R24,140.2,-47.99,0.0,bottom
R25,125.38,-71.5,90.0,bottom
R26,140.911559,-53.62,270.0,bottom
R27,100.986559,-65.585,90.0,bottom
R28,138.86,-74.79,180.0,bottom
R3,110.341559,-64.39,180.0,bottom
R30,139.34,-70.03,180.0,bottom
R31,137.366559,-62.465,0.0,bottom
R32,106.381559,-54.99,180.0,bottom
R33,125.391559,-62.765,180.0,bottom
R34,104.511559,-52.72,90.0,bottom
R35,135.881559,-113.44,180.0,bottom
R36,129.45,-107.575,180.0,bottom
R37,127.74,-105.54,270.0,bottom
R38,103.45,-106.86,270.0,top
R39,87.6,-53.88,270.0,bottom
R4,119.07,-73.36,0.0,bottom
R5,140.38,-83.32,90.0,bottom
R6,120.88,-73.8,270.0,bottom
R7,128.77,-108.74,90.0,top
R8,115.46,-70.93,270.0,bottom
R9,137.41,-108.74,90.0,top
SW1,103.95,-114.33,0.0,top
SW2,113.5,-114.31,0.0,top
TP1,135.13,-66.2,0.0,top
TP10,93.861559,-68.09,0.0,top
TP11,138.8,-71.14,270.0,top
TP13,101.711559,-50.69,0.0,top
TP14,101.711559,-55.39,0.0,top
TP15,118.99,-46.85,0.0,top
TP16,106.1,-41.77,0.0,bottom
TP17,119.94,-51.15,0.0,top
TP18,113.711559,-98.69,0.0,top
TP3,106.69,-108.38,0.0,top
TP4,129.13,-76.72,180.0,top
TP5,118.511559,-70.64,180.0,top
TP6,130.29,-84.69,0.0,top
