Designator,Footprint,Quantity,Value,LCSC Part #
"_2, ",,2,,
ANT1,ANT-SMD_L10.0-W3.0,1,GPS1003,C239243
"C1, C12, C14, C29, C46, C49, C50, C58, C6, C60",C0402,10,0.1uF/25V,C100072
"C10, C7",C0402,2,10uF/10V,C315248
"C11, C15, C3, C4, C53, C59",C0603,6,10uF/25V,C96446
"C13, C17, C5, C8",C0805,4,22uF/25V,C602037
"C16, C20, C30, C32",C0402,4,4.7uF/25V,C6119795
"C19, C26, C27, C31, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C45, C55, C56, C57, C9",C0402,19,1uF/50V,C7500380
C2,C0402,1,47nF/25V,C285062
C23,C0603,1,500pF/50V,C1624
C28,C0402,1,2.2uF/16V,C170151
C44,C1210,1,100uF/16V,C394395
CN1,CONN-SMD_2P-P1.00_SM02B-SRSS-TB-LF-SN,1,SM02B-SRSS-TB (LF)(SN),C160402
"CN2, CN3",CONN-SMD-5P-P1.00_BM05B-SRSS-TB-LF-SN,2,BM05B-SRSS-TB(LF)(SN),C160391
"D1, D2, D3",SOD-882_L1.0-W0.6-RD,3,"PMEG3005EL,315",C282565
"D4, D5, D6, D7",SOD-323_L1.8-W1.3-LS2.5-RD,4,"CUS10S30,H3F",C146335
DIS1,AG_display,1,~,C5160787
F1,F1206,1,BSMD1206-075-6V,C883127
FPC1,FPC-SMD_FPC-0.5-24P-LTH2.0,1,FPC 0.5-24P LTH2.0,C6081230
L1,IND-SMD_L2.5-W2.0,1,252012CDMCDDS-1R0MC,C492725
L2,IND-SMD_L4.0-W4.0_XFL4020-102MEB,1,XFL4015-471MEC,C18221164
L3,L0805,1,XRTC201210S100MBCA,C39846618
NTC1,R0805,1,KNTC0805/10KF3950,C2892549
Q1,SC-70-6L_L2.0-W2.0-P0.65-BL,1,SIA445EDJ-T1-GE3,C144959
Q2,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,1,ZVN4106FTA_C508255,C508255
Q3,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,1,SS8050-G,C164886
Q4,SOT-323-3_L2.0-W1.3-P1.30-LS2.1-BR,1,SI1308EDL,C7603347
"R1, R23, R31, R33, R5, R8",R0402,6,100K,C60491
"R10, R14, R15, R19, R2, R22, R24, R26, R27, R28, R3, R30, R36, R37",R0402,14,10K,C327797
R11,R0402,1,4.12K,C327340
R12,R0402,1,17.33K,C851231
R13,R0402,1,2.49K,C25884
R16,R0402,1,51K,C107229
R17,R0402,1,15K,C25756
R18,R0402,1,20K,C93942
"R20, R21",R0402,2,22R,C114765
"R29, R39",R0402,2,0R,C106231
R32,R0402,1,1M,C138033
R34,R0402,1,2.2R,C25101
R35,R0402,1,4.7R,C2909356
R38,R0402,1,1K,C106235
R4,R0402,1,475K,C5713272
R6,R0402,1,91K,C327323
"R7, R9",R0402,2,5.1K,C105872
"SW1, SW2",KEY-SMD_3P-L5.5-W3.8-P3.00,2,TS-1091C-A1B3-D2,C2874581
TP1,TestPoint_Pad_D1.0mm,1,SYS,
TP10,TestPoint_Pad_D1.0mm,1,VDD_BAK,
TP11,TestPoint_Pad_D1.0mm,1,V1.8,
TP13,TestPoint_Pad_D1.0mm,1,GDR,
TP14,TestPoint_Pad_D1.0mm,1,RESE,
TP15,TestPoint_Pad_D1.0mm,1,PREVGH,
TP16,TestPoint_Pad_D1.0mm,1,PREVGL,
TP17,TestPoint_Pad_D1.0mm,1,VCOM,
TP18,TestPoint_Pad_D1.0mm,1,GND,
TP2,TestPoint_Pad_D1.0mm,1,PACK-,
TP3,TestPoint_Pad_D1.0mm,1,PACK+,
TP4,TestPoint_Pad_D1.0mm,1,PMID_GD,
TP5,TestPoint_Keystone_5019_Miniature,1,+3.1V,
TP6,TestPoint_Pad_D1.0mm,1,PMID,
TP7,TestPoint_Pad_D1.0mm,1,VBUS,
TP8,TestPoint_Keystone_5019_Miniature,1,+5V,
TP9,TestPoint_Pad_D1.0mm,1,EN_PM1,
U1,WSON-8_L8.0-W6.0-P1.27-TL-1,1,W25N512GVEIG,C3024446
U10,UQFN-10_L1.8-W1.4-P0.40-BL,1,TMUX121NKGR_C22428404,C22428404
U11,LGA-12_L2.0-W2.0-P0.50-BL,1,LIS2DH12TR,C110926
U12,BUZ-SMD_4P-L8.5-W8.5-P8.50-BR,1,HYG-8503A,C7544813
U13,Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad,1,SHT4x,
U15,LGA-8_L2.5-W2.0-P0.65-TR_DPS368,1,DPS368XTSA1,C3232508
U16,TAU1113,1,TAU1113,
U17,S12,1,S12,
U2,VSON-10_L3.0-W2.0-P0.50-TL,1,TPS63802DLAR,C2845237
U3,WQFN-18_L3.0-W2.5-P0.40-TL,1,BQ25628RYKR,C6055599
U4,ESP32-C5-MINI-1,1,ESP32-C5-MINI-1,
U5,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,1,TPL5010DDCR,C473912
U6,SOT-583-8_L2.1-W1.2-P0.50-LS1.6-BL,1,LM66200DRLR,C3235556
U7,X2SON-4_L1.0-W1.0-P0.65-TL-EP,1,TPS7A0228DQNR,C5220175
U8,DSBGA-9_L1.6-W1.6-R3-C3-P0.50-TL,1,BQ27427YZFR,C6075475
U9,XDCR_SGP41-D-R4,1,SGP41-D-R4,
USB1,USB-C-SMD_G-SWITCH_GT-USB-7010ASV,1,GT-USB-7010ASV,C2988369
