Designator,Mid X,Mid Y,Rotation,Layer
_2,158.56,-98.19,0.0,top
,110.56,-91.69,0.0,top
ANT1,104.661559,-66.998289,91.499,bottom
C1,146.011559,-131.65,90.0,top
C10,159.611559,-70.035476,90.0,bottom
C11,154.51,-87.57,180.0,bottom
C12,155.19,-95.95,0.0,bottom
C13,137.35,-89.94,270.0,bottom
C14,137.25,-80.54,270.0,bottom
C15,154.78,-98.28,90.0,bottom
C16,151.031559,-93.97,270.0,bottom
C17,146.6,-88.05,270.0,bottom
C19,153.151559,-98.91,90.0,bottom
C2,151.691559,-95.86,0.0,bottom
C20,149.77,-99.575,0.0,bottom
C23,142.2,-82.76,0.0,bottom
C26,85.202511,-104.47,0.0,bottom
C27,115.686559,-88.63,90.0,bottom
C28,85.202511,-106.62,0.0,bottom
C29,80.143939,-87.27,0.0,bottom
C3,157.03,-89.2,270.0,bottom
C30,173.391559,-105.31,0.0,top
C31,119.236559,-88.33,0.0,bottom
C32,173.391559,-107.46,0.0,top
C34,128.211559,-68.83,90.0,top
C35,133.111559,-68.83,270.0,top
C36,131.511559,-68.83,90.0,top
C37,141.111559,-68.83,90.0,top
C38,120.586559,-90.455,270.0,bottom
C39,155.261559,-135.48,180.0,bottom
C4,158.85,-89.2,270.0,bottom
C40,139.511559,-68.83,270.0,top
C41,157.111559,-128.68,180.0,bottom
C42,137.911559,-68.83,270.0,top
C43,136.311559,-68.83,270.0,top
C44,86.123939,-81.16,0.0,bottom
C45,134.711559,-68.83,270.0,top
C46,102.361559,-92.83,270.0,bottom
C49,108.561559,-144.28,180.0,top
C5,150.411559,-123.68,0.0,top
C50,103.531559,-109.18,180.0,bottom
C53,103.261559,-107.23,180.0,bottom
C55,110.911559,-87.905,0.0,bottom
C56,125.186559,-90.18,0.0,bottom
C57,161.211559,-123.11,180.0,top
C58,103.411559,-120.03,0.0,bottom
C59,106.686559,-88.58,180.0,bottom
C6,136.561559,-84.38,0.0,bottom
C60,103.411559,-118.58,0.0,bottom
C7,160.811559,-70.03,90.0,bottom
C8,139.65,-89.94,270.0,bottom
C9,133.461559,-84.38,180.0,bottom
CN1,127.143118,-124.75,270.0,top
CN2,117.336559,-93.115,0.0,bottom
CN3,125.561559,-93.1175,0.0,bottom
D1,142.711559,-68.4,90.0,top
D2,144.311559,-68.43,270.0,top
D3,129.911559,-68.4,270.0,top
D4,117.936559,-84.83,0.0,bottom
D5,117.936559,-82.83,180.0,bottom
D6,87.088939,-84.62,0.0,bottom
D7,87.088939,-87.23,0.0,bottom
DIS1,134.761515,-88.443007,0.0,bottom
F1,156.161559,-124.88,0.0,top
FPC1,132.536559,-69.164619,180.0,bottom
L1,160.35,-93.0,270.0,bottom
L2,143.011559,-86.78,0.0,bottom
L3,130.911559,-75.18,0.0,bottom
NTC1,144.811559,-124.28,270.0,top
Q1,149.031559,-97.38,180.0,bottom
Q2,147.705,-92.9,90.0,bottom
Q3,192.188939,-104.025,0.0,bottom
Q4,127.711559,-72.88,0.0,bottom
R1,144.511559,-131.42,90.0,top
R10,135.811559,-81.51,270.0,bottom
R11,151.475,-89.7,270.0,bottom
R12,152.975,-89.7,270.0,bottom
R13,149.975,-89.7,270.0,bottom
R14,149.311559,-94.64,0.0,bottom
R15,160.46,-89.7,270.0,bottom
R16,139.25,-77.585,0.0,bottom
R17,153.591559,-101.1,180.0,bottom
R18,147.791559,-100.015,90.0,bottom
R19,133.925,-87.34,270.0,bottom
R2,123.511559,-80.01,270.0,bottom
R20,151.575,-83.64,90.0,bottom
R21,149.57,-83.64,90.0,bottom
R22,135.45,-87.34,270.0,bottom
R23,139.23,-82.74,0.0,bottom
R24,154.341559,-69.58,0.0,top
R26,160.911559,-73.61,270.0,bottom
R27,120.986559,-85.575,90.0,bottom
R28,88.462511,-104.47,0.0,bottom
R29,83.403939,-86.54,0.0,bottom
R3,130.341559,-84.38,180.0,bottom
R30,88.462511,-106.62,0.0,bottom
R31,157.366559,-82.455,0.0,bottom
R32,126.381559,-74.98,180.0,bottom
R33,145.391559,-82.755,180.0,bottom
R34,124.511559,-72.71,90.0,bottom
R35,155.881559,-133.43,180.0,bottom
R36,83.403939,-88.69,0.0,bottom
R37,182.198939,-92.395,0.0,bottom
R38,182.198939,-94.545,0.0,bottom
R39,104.511559,-75.41,270.0,bottom
R4,133.96,-90.92,90.0,bottom
R5,157.531559,-94.74,180.0,bottom
R6,133.96,-93.8,270.0,bottom
R7,148.77,-128.73,90.0,top
R8,135.46,-90.92,270.0,bottom
R9,157.41,-128.73,90.0,top
SW1,123.95,-134.32,0.0,top
SW2,133.5,-134.3,0.0,top
TP5,138.511559,-90.63,180.0,top
TP8,138.511559,-97.33,0.0,top
U1,130.211559,-80.18,180.0,bottom
U10,104.201559,-93.88,180.0,bottom
U11,103.441559,-111.73,90.0,bottom
U12,189.013939,-96.62,0.0,bottom
U13,108.511559,-144.18,180.0,bottom
U15,103.51,-116.05,180.0,bottom
U16,110.886559,-81.08,90.0,bottom
U17,154.211559,-126.34,0.0,bottom
U2,143.07,-91.12,90.0,bottom
U3,154.5,-93.1,180.0,bottom
U4,150.8,-65.9,0.0,bottom
U5,140.15,-80.135,0.0,bottom
U6,81.143939,-80.485,0.0,bottom
U7,117.261559,-88.05,270.0,bottom
U8,79.898939,-84.76,0.0,bottom
U9,152.261559,-134.53,270.0,bottom
USB1,153.061559,-133.0875,0.0,top
