Designator,Footprint,Quantity,Value,LCSC Part #
"_3, _2, ",,3,,
C1,0805,1,22uF/25V,C602037
"C2, C3",0402,2,0.1uF/16V,C1525
C4,0402,1,1uF/50V,C7500380
CN1,CONN-SMD_SM05B-SRSS-TB-LF-SN,1,SM05B-SRSS-TB (LF)(SN),C136657
FPC1,FPC-SMD_6P-P0.50_0.5-6PQFHY-H1.0119,1,0.5-6PQFHY-H1.0 119,C2858296
"LED1, LED10, LED2, LED3, LED4, LED5, LED6, LED7, LED8, LED9",LED-ARRAY-SMD_4P-L1.6-W0.8-BL-FD,10,TJ-S1608SW6TDSLCCYRGB-A5,C5356078
"LED25, LED26",LED-SMD_L2.8-W1.2-RD,2,99-213UMC/3640661/TR8-T,C181869
R1,0402,1,5.1K,C105872
R2,0402,1,100K,C60491
R3,0402,1,RC0402FR-070RL,C106231
T1,touch-pad-go,1,touch-left,
U1,TDFN-8_L3.0-W2.0-P0.50-BL-EP,1,CAP1203-1-AC3-TR,C2652075
U2,VQFN-46-1EP_5x6mm_P0.4mm_EP2.8x3.8mm,1,LP5036,
