Designator,Mid X,Mid Y,Rotation,Layer
_3,48.58529,46.675502,0.0,top
_2,7.472226,19.147446,0.0,top
,51.58529,19.144552,0.0,top
C1,39.400227,26.304502,270.0,bottom
C2,26.51029,23.135502,270.0,bottom
C3,26.040227,28.074502,180.0,bottom
C4,23.455227,28.504502,90.0,bottom
CN1,44.80869,26.034502,0.0,bottom
FPC1,18.182228,36.164502,180.0,bottom
LED1,1.390227,8.481736,90.0,top
LED10,57.660227,28.778796,90.0,top
LED2,1.390227,28.781735,270.0,top
LED25,45.070227,19.144502,270.0,top
LED26,14.010227,19.144502,90.0,top
LED3,7.670227,30.314502,0.0,bottom
LED4,7.680227,40.804502,180.0,top
LED5,7.660227,40.804502,180.0,bottom
LED6,28.610286,40.503002,0.0,bottom
LED7,51.590227,40.814502,180.0,bottom
LED8,51.590227,40.814502,180.0,top
LED9,51.600227,30.314502,180.0,bottom
R1,24.450227,28.524502,90.0,bottom
R2,30.61029,23.155502,270.0,bottom
R3,32.890227,28.054502,90.0,bottom
T1,3.582227,17.775502,0.0,top
U1,28.53529,23.235502,0.0,bottom
U2,28.61029,33.064502,180.0,bottom
